player_id,season_id,matches,innings,runs,balls,average,strike_rate,fours,sixes,fifties,hundreds,dot_ball_pct,boundary_pct,highest_score
476,4,13,13,312.0,243.0,24.0,128.4,21,14,2,0,31.69,14.4,65.0
476,5,13,13,319.0,198.0,24.54,161.11,26,15,3,0,24.75,20.71,64.0
476,6,14,15,373.0,223.0,26.64,167.26,34,17,2,0,25.11,22.87,64.0
476,7,13,13,395.0,249.0,30.38,158.63,26,24,3,0,28.11,20.08,89.0
476,8,14,14,513.0,293.0,36.64,175.09,60,22,2,1,28.33,27.99,133.0
476,9,16,16,687.0,407.0,42.94,168.8,57,37,6,1,23.83,23.1,129.0
476,10,9,9,216.0,163.0,24.0,132.52,12,16,1,0,38.65,17.18,89.0
476,11,11,11,480.0,275.0,43.64,174.55,39,30,6,0,26.91,25.09,90.0
476,12,13,13,442.0,287.0,34.0,154.01,31,26,5,0,30.31,19.86,82.0
476,13,14,15,460.0,290.0,32.86,158.62,34,23,5,0,26.21,19.66,73.0
476,14,14,14,313.0,211.0,22.36,148.34,23,16,2,0,31.28,18.48,76.0
632,1,2,2,2.0,4.0,1.0,50.0,0,0,0,0,25.0,0.0,1.0
632,2,2,2,2.0,3.0,1.0,66.67,0,0,0,0,66.67,0.0,2.0
632,3,1,1,0.0,1.0,0.0,0.0,0,0,0,0,100.0,0.0,0.0
632,4,1,1,0.0,5.0,0.0,0.0,0,0,0,0,100.0,0.0,0.0
632,5,1,1,2.0,5.0,2.0,40.0,0,0,0,0,40.0,0.0,2.0
632,6,5,5,9.0,11.0,1.8,81.82,1,0,0,0,45.45,9.09,6.0
632,7,3,3,4.0,12.0,1.33,33.33,0,0,0,0,66.67,0.0,2.0
632,10,1,1,7.0,7.0,7.0,100.0,1,0,0,0,42.86,14.29,7.0
465,2,1,1,3.0,4.0,3.0,75.0,0,0,0,0,25.0,0.0,3.0
465,3,3,3,65.0,52.0,21.67,125.0,3,2,0,0,23.08,9.62,33.0
465,4,1,1,8.0,7.0,8.0,114.29,0,0,0,0,28.57,0.0,8.0
465,5,3,3,47.0,35.0,15.67,134.29,6,2,0,0,40.0,22.86,30.0
465,6,1,1,0.0,2.0,0.0,0.0,0,0,0,0,100.0,0.0,0.0
185,16,1,1,1.0,1.0,1.0,100.0,0,0,0,0,0.0,0.0,1.0
87,13,7,8,113.0,67.0,16.14,168.66,8,6,0,0,26.87,20.9,33.0
87,14,10,10,111.0,87.0,11.1,127.59,4,8,0,0,36.78,13.79,28.0
87,15,2,2,4.0,7.0,2.0,57.14,0,0,0,0,42.86,0.0,4.0
87,16,8,8,169.0,128.0,21.12,132.03,10,11,0,0,36.72,16.41,37.0
87,17,12,12,182.0,108.0,15.17,168.52,15,11,0,0,28.7,24.07,37.0
87,18,12,12,164.0,93.0,13.67,176.34,8,14,0,0,24.73,23.66,45.0
325,1,1,1,0.0,2.0,0.0,0.0,0,0,0,0,100.0,0.0,0.0
334,11,3,3,63.0,33.0,21.0,190.91,3,5,0,0,18.18,24.24,46.0
334,12,3,3,9.0,9.0,3.0,100.0,1,0,0,0,22.22,11.11,5.0
334,13,7,7,71.0,56.0,10.14,126.79,6,3,0,0,33.93,16.07,31.0
334,14,7,7,98.0,75.0,14.0,130.67,7,4,0,0,33.33,14.67,33.0
334,15,14,14,426.0,320.0,30.43,133.12,47,13,2,0,39.06,18.75,75.0
334,16,11,11,226.0,157.0,20.55,143.95,28,6,2,0,33.76,21.66,67.0
334,17,16,16,484.0,237.0,30.25,204.22,36,42,3,0,31.65,32.91,75.0
334,18,13,13,439.0,227.0,33.77,193.39,46,28,2,1,33.48,32.6,141.0
211,16,4,4,33.0,31.0,8.25,106.45,1,2,0,0,35.48,9.68,20.0
211,17,12,12,327.0,205.0,27.25,159.51,36,13,2,0,34.15,23.9,65.0
211,18,13,13,301.0,205.0,23.15,146.83,28,12,1,0,28.29,19.51,51.0
449,4,6,6,120.0,87.0,20.0,137.93,21,2,1,0,48.28,26.44,51.0
449,5,1,1,0.0,3.0,0.0,0.0,0,0,0,0,100.0,0.0,0.0
441,1,14,14,436.0,318.0,31.14,137.11,51,19,3,1,42.14,22.01,109.0
441,2,16,16,495.0,325.0,30.94,152.31,54,29,3,0,44.0,25.54,85.0
441,3,16,16,289.0,185.0,18.06,156.22,31,16,1,0,39.46,25.41,54.0
441,4,14,14,383.0,295.0,27.36,129.83,41,18,2,1,41.69,20.0,106.0
441,5,7,7,172.0,143.0,24.57,120.28,21,4,1,0,41.26,17.48,64.0
441,6,13,13,294.0,229.0,22.62,128.38,41,6,1,0,41.92,20.52,85.0
618,4,2,2,1.0,4.0,0.5,25.0,0,0,0,0,75.0,0.0,1.0
618,5,2,2,19.0,15.0,9.5,126.67,1,1,0,0,33.33,13.33,12.0
129,3,7,7,181.0,143.0,25.86,126.57,15,3,0,0,26.57,12.59,45.0
12,11,6,6,148.0,118.0,24.67,125.42,13,6,0,0,38.98,16.1,45.0
