player_id,season_id,phase,matches,innings,runs,balls,average,strike_rate,highest_score,fours,sixes,dismissals,dot_ball_pct,boundary_pct
309,1,Death Over,1,1,16.0,6,16.0,266.67,16.0,4,0,1,33.33,66.67
309,1,Middle Over,3,3,73.0,60,24.33,121.67,35.0,8,1,2,25.0,15.0
309,1,Powerplay Over,7,7,104.0,106,14.86,98.11,24.0,18,1,4,50.0,17.92
317,1,Death Over,5,5,99.0,47,19.8,210.64,32.0,9,6,4,17.02,31.91
317,1,Middle Over,10,10,107.0,95,10.7,112.63,27.0,7,3,4,27.37,10.53
326,1,Death Over,3,3,13.0,16,4.33,81.25,10.0,1,0,3,31.25,6.25
326,1,Middle Over,1,1,17.0,12,17.0,141.67,17.0,2,0,0,25.0,16.67
330,1,Death Over,2,2,17.0,10,8.5,170.0,16.0,1,1,0,10.0,20.0
330,1,Middle Over,6,6,90.0,80,15.0,112.5,30.0,6,3,4,32.5,11.25
330,1,Powerplay Over,4,4,7.0,15,1.75,46.67,6.0,1,0,1,66.67,6.67
340,1,Death Over,2,2,5.0,8,2.5,62.5,4.0,0,0,0,50.0,0.0
381,1,Death Over,1,1,1.0,2,1.0,50.0,1.0,0,0,0,50.0,0.0
383,1,Death Over,4,4,7.0,6,1.75,116.67,4.0,0,0,0,16.67,0.0
383,1,Middle Over,1,1,4.0,5,4.0,80.0,4.0,1,0,1,60.0,20.0
388,1,Middle Over,1,1,9.0,12,9.0,75.0,9.0,1,0,1,33.33,8.33
402,1,Death Over,1,1,3.0,3,3.0,100.0,3.0,0,0,1,0.0,0.0
402,1,Powerplay Over,1,1,7.0,13,7.0,53.85,7.0,0,1,1,76.92,7.69
403,1,Death Over,2,2,47.0,25,23.5,188.0,30.0,3,4,1,16.0,28.0
403,1,Middle Over,3,3,91.0,66,30.33,137.88,66.0,8,5,1,36.36,19.7
403,1,Powerplay Over,3,3,23.0,20,7.67,115.0,21.0,4,0,0,55.0,20.0
410,1,Death Over,1,1,2.0,1,2.0,200.0,2.0,0,0,1,0.0,0.0
413,1,Middle Over,3,3,28.0,35,9.33,80.0,17.0,0,0,3,34.29,0.0
413,1,Powerplay Over,3,3,45.0,43,15.0,104.65,27.0,6,1,0,41.86,16.28
418,1,Middle Over,2,2,14.0,16,7.0,87.5,13.0,2,0,2,43.75,12.5
418,1,Powerplay Over,1,1,4.0,3,4.0,133.33,4.0,1,0,0,33.33,33.33
423,1,Powerplay Over,3,3,12.0,18,4.0,66.67,10.0,2,0,2,61.11,11.11
428,1,Death Over,4,4,51.0,40,12.75,127.5,26.0,3,3,2,32.5,15.0
428,1,Middle Over,9,9,353.0,231,39.22,152.81,59.0,31,17,5,26.41,20.78
428,1,Powerplay Over,11,11,212.0,181,19.27,117.13,33.0,25,6,3,42.54,17.13
432,1,Death Over,1,1,3.0,6,3.0,50.0,3.0,0,0,1,33.33,0.0
432,1,Middle Over,4,4,74.0,55,18.5,134.55,34.0,8,1,2,20.0,16.36
432,1,Powerplay Over,6,6,78.0,73,13.0,106.85,37.0,14,0,2,49.32,19.18
441,1,Powerplay Over,3,3,20.0,30,6.67,66.67,10.0,3,0,3,56.67,10.0
447,1,Death Over,1,1,0.0,1,0.0,0.0,0.0,0,0,1,100.0,0.0
449,1,Death Over,4,4,62.0,40,15.5,155.0,25.0,5,2,3,20.0,17.5
449,1,Middle Over,7,7,92.0,77,13.14,119.48,36.0,9,3,3,36.36,15.58
449,1,Powerplay Over,2,2,24.0,20,12.0,120.0,16.0,5,0,0,50.0,25.0
450,1,Powerplay Over,1,1,1.0,8,1.0,12.5,1.0,0,0,1,62.5,0.0
