player_id,season_id,matches,innings,balls_bowled,overs,runs_conceded,wickets,economy,bowling_average,bowling_strike_rate,dot_balls,dot_balls_pct,fours_conceded,sixes_conceded,best_bowling_figures
114,17,1,1,14,3,22.0,0.0,7.33,0.0,0.0,7,50.0,1,2,0/22
336,16,6,6,85,16,190.0,5.0,11.88,38.0,17.0,25,29.41,22,10,3/39
336,17,3,3,49,9,90.0,1.0,10.0,90.0,49.0,19,38.78,10,4,1/45
336,18,9,9,126,21,217.0,6.0,10.33,36.17,21.0,46,36.51,24,10,1/7
607,17,1,1,12,2,24.0,0.0,12.0,0.0,0.0,4,33.33,5,0,0/24
502,12,3,3,60,10,109.0,3.0,10.9,36.33,20.0,15,25.0,12,4,2/43
502,13,8,8,149,25,218.0,9.0,8.72,24.22,16.56,55,36.91,22,7,3/23
502,14,12,12,248,42,342.0,18.0,8.14,19.0,13.78,82,33.06,27,11,5/32
502,15,14,14,300,50,385.0,10.0,7.7,38.5,30.0,102,34.0,39,6,3/37
502,16,14,14,305,51,493.0,17.0,9.67,29.0,17.94,110,36.07,62,16,4/29
502,17,14,14,302,52,505.0,19.0,9.71,26.58,15.89,108,35.76,55,21,4/29
502,18,16,16,350,59,518.0,21.0,8.78,24.67,16.67,134,38.29,62,15,3/16
437,12,3,3,52,9,87.0,6.0,9.67,14.5,8.67,23,44.23,10,5,6/12
437,15,9,9,180,30,264.0,7.0,8.8,37.71,25.71,67,37.22,24,13,2/34
437,16,7,7,144,24,225.0,7.0,9.38,32.14,20.57,56,38.89,12,17,2/27
437,17,3,3,58,10,115.0,1.0,11.5,115.0,58.0,16,27.59,7,8,1/43
531,6,2,2,24,4,35.0,1.0,8.75,35.0,24.0,8,33.33,5,1,1/25
531,9,4,4,66,11,98.0,3.0,8.91,32.67,22.0,18,27.27,10,1,1/14
531,10,5,5,84,14,107.0,4.0,7.64,26.75,21.0,27,32.14,10,4,3/37
531,11,8,8,157,27,223.0,11.0,8.26,20.27,14.27,76,48.41,29,9,5/14
531,12,4,4,96,16,152.0,3.0,9.5,50.67,32.0,32,33.33,17,4,2/33
531,13,6,6,102,17,199.0,2.0,11.71,99.5,51.0,31,30.39,18,12,1/39
297,2,4,4,24,4,36.0,0.0,9.0,0.0,0.0,4,16.67,3,1,0/6
297,4,1,1,6,1,8.0,0.0,8.0,0.0,0.0,2,33.33,1,0,0/8
462,12,1,1,12,2,11.0,1.0,5.5,11.0,12.0,4,33.33,0,0,1/11
462,15,2,2,42,7,55.0,1.0,7.86,55.0,42.0,11,26.19,2,3,1/28
462,16,3,3,48,8,65.0,3.0,8.12,21.67,16.0,20,41.67,3,5,2/19
462,17,3,3,34,6,60.0,0.0,10.0,0.0,0.0,13,38.24,9,2,0/6
462,18,1,1,24,4,27.0,1.0,6.75,27.0,24.0,8,33.33,3,0,1/27
309,18,7,7,123,21,232.0,11.0,11.05,21.09,11.18,35,28.46,18,15,4/24
536,17,1,1,1,1,4.0,0.0,4.0,0.0,0.0,0,0.0,1,0,0/4
649,14,1,1,18,3,35.0,0.0,11.67,0.0,0.0,6,33.33,1,4,0/35
649,16,2,2,42,7,56.0,2.0,8.0,28.0,21.0,14,33.33,3,3,2/23
715,4,2,2,33,6,49.0,0.0,8.17,0.0,0.0,7,21.21,5,0,0/19
715,5,1,1,6,1,14.0,0.0,14.0,0.0,0.0,2,33.33,0,2,0/14
490,10,1,1,24,4,23.0,1.0,5.75,23.0,24.0,11,45.83,2,1,1/23
490,11,6,6,114,19,204.0,4.0,10.74,51.0,28.5,43,37.72,14,17,2/29
490,12,1,1,18,3,30.0,0.0,10.0,0.0,0.0,7,38.89,6,0,0/30
490,13,1,1,24,4,42.0,0.0,10.5,0.0,0.0,7,29.17,6,1,0/42
490,14,16,16,366,61,450.0,24.0,7.38,18.75,15.25,146,39.89,41,15,3/13
490,15,13,13,286,48,416.0,19.0,8.67,21.89,15.05,122,42.66,51,13,4/24
490,16,9,9,174,29,283.0,8.0,9.76,35.38,21.75,58,33.33,34,9,3/25
490,17,15,15,329,55,526.0,19.0,9.56,27.68,17.32,97,29.48,47,23,3/27
490,18,13,13,284,48,487.0,13.0,10.15,37.46,21.85,77,27.11,48,21,3/37
667,5,11,11,256,44,329.0,14.0,7.48,23.5,18.29,95,37.11,38,4,3/20
667,6,11,11,263,44,330.0,15.0,7.5,22.0,17.53,99,37.64,30,12,3/21
667,8,1,1,18,3,41.0,0.0,13.67,0.0,0.0,5,27.78,5,2,0/41
263,17,7,7,126,21,186.0,4.0,8.86,46.5,31.5,52,41.27,26,6,2/27
263,18,8,8,162,27,279.0,8.0,10.33,34.88,20.25,43,26.54,25,12,2/33
674,1,6,6,104,18,134.0,2.0,7.44,67.0,52.0,34,32.69,10,6,2/17
674,2,5,5,66,11,80.0,4.0,7.27,20.0,16.5,19,28.79,5,2,2/18
674,3,1,1,6,1,6.0,0.0,6.0,0.0,0.0,3,50.0,1,0,0/6
674,4,1,1,12,2,22.0,0.0,11.0,0.0,0.0,4,33.33,2,1,0/22
345,4,1,1,6,1,20.0,0.0,20.0,0.0,0.0,1,16.67,1,2,0/20
601,1,2,2,48,8,91.0,1.0,11.38,91.0,48.0,15,31.25,17,1,1/50
64,4,4,4,66,11,67.0,3.0,6.09,22.33,22.0,28,42.42,7,1,2/14
64,5,11,11,234,39,281.0,8.0,7.21,35.12,29.25,86,36.75,22,10,2/9
64,6,16,16,342,57,371.0,13.0,6.51,28.54,26.31,167,48.83,43,5,3/18
64,7,14,14,319,55,354.0,20.0,6.44,17.7,15.95,152,47.65,42,8,4/14
64,8,14,14,310,52,407.0,18.0,7.83,22.61,17.22,126,40.65,41,14,3/26
64,9,17,17,396,66,490.0,23.0,7.42,21.3,17.22,156,39.39,54,8,4/29
64,10,14,14,314,53,369.0,26.0,6.96,14.19,12.08,117,37.26,35,9,5/19
64,11,12,12,277,47,354.0,9.0,7.53,39.33,30.78,121,43.68,30,16,3/26
64,12,15,15,354,59,461.0,13.0,7.81,35.46,27.23,163,46.05,49,16,2/24
64,13,4,4,85,15,99.0,3.0,6.6,33.0,28.33,39,45.88,13,1,2/25
64,14,11,11,252,42,335.0,6.0,7.98,55.83,42.0,101,40.08,33,12,1/16
64,15,14,14,313,53,383.0,12.0,7.23,31.92,26.08,129,41.21,31,12,3/22
64,16,14,14,306,51,425.0,16.0,8.33,26.56,19.12,121,39.54,50,11,5/30
64,17,16,16,342,57,533.0,11.0,9.35,48.45,31.09,126,36.84,62,21,3/41
64,18,14,14,312,52,483.0,17.0,9.29,28.41,18.35,116,37.18,46,26,3/33
66,6,2,2,42,7,71.0,1.0,10.14,71.0,42.0,9,21.43,7,2,1/25
66,11,7,7,126,21,211.0,9.0,10.05,23.44,14.0,33,26.19,19,8,2/15
770,1,4,4,96,16,112.0,4.0,7.0,28.0,24.0,44,45.83,16,2,1/9
770,2,5,5,120,20,111.0,5.0,5.55,22.2,24.0,69,57.5,12,1,3/15
770,3,4,4,87,15,149.0,0.0,9.93,0.0,0.0,20,22.99,15,3,0/24
770,4,12,12,272,46,338.0,5.0,7.35,67.6,54.4,108,39.71,39,5,1/12
770,5,10,10,228,38,299.0,7.0,7.87,42.71,32.57,99,43.42,30,12,2/26
770,6,3,3,72,12,86.0,4.0,7.17,21.5,18.0,34,47.22,11,2,2/40
760,10,2,2,48,8,70.0,2.0,8.75,35.0,24.0,17,35.42,6,3,2/29
760,11,4,4,96,16,130.0,5.0,8.12,26.0,19.2,47,48.96,13,6,2/21
8,4,8,8,167,28,229.0,9.0,8.18,25.44,18.56,55,32.93,18,9,4/22
8,5,5,5,99,17,136.0,2.0,8.0,68.0,49.5,26,26.26,13,4,2/24
