player_id,season_id,phase,matches,innings,runs,balls,average,strike_rate,highest_score,fours,sixes,dismissals,dot_ball_pct,boundary_pct
284,1,Middle Over,3,3,27.0,28,9.0,96.43,24.0,1,0,2,25.0,3.57
284,1,Powerplay Over,1,1,17.0,14,17.0,121.43,17.0,3,0,0,28.57,21.43
290,1,Death Over,1,1,0.0,3,0.0,0.0,0.0,0,0,1,100.0,0.0
290,1,Middle Over,2,2,42.0,31,21.0,135.48,42.0,5,1,2,35.48,19.35
290,1,Powerplay Over,7,7,103.0,81,14.71,127.16,40.0,16,2,5,41.98,22.22
302,1,Death Over,2,2,14.0,13,7.0,107.69,13.0,1,0,1,15.38,7.69
302,1,Middle Over,1,1,12.0,15,12.0,80.0,12.0,1,0,0,46.67,6.67
305,1,Death Over,2,2,43.0,22,21.5,195.45,25.0,6,1,0,13.64,31.82
305,1,Middle Over,3,3,69.0,46,23.0,150.0,33.0,5,3,1,13.04,17.39
305,1,Powerplay Over,4,4,77.0,67,19.25,114.93,24.0,13,2,1,49.25,22.39
313,1,Death Over,5,5,99.0,47,19.8,210.64,32.0,9,6,4,17.02,31.91
313,1,Middle Over,10,10,107.0,95,10.7,112.63,27.0,7,3,4,27.37,10.53
316,1,Middle Over,2,2,34.0,38,17.0,89.47,20.0,2,1,1,36.84,7.89
316,1,Powerplay Over,4,4,5.0,15,1.25,33.33,5.0,0,0,2,66.67,0.0
322,1,Death Over,3,3,2.0,4,0.67,50.0,1.0,0,0,1,25.0,0.0
325,1,Death Over,1,1,0.0,2,0.0,0.0,0.0,0,0,0,100.0,0.0
326,1,Death Over,3,3,29.0,18,9.67,161.11,13.0,2,2,2,27.78,22.22
326,1,Middle Over,2,2,5.0,10,2.5,50.0,4.0,0,0,0,30.0,0.0
329,1,Death Over,6,6,63.0,34,10.5,185.29,28.0,7,1,1,8.82,23.53
329,1,Middle Over,14,14,351.0,233,25.07,150.64,60.0,33,16,9,28.33,21.03
329,1,Powerplay Over,8,8,58.0,55,7.25,105.45,20.0,7,2,0,47.27,16.36
331,1,Death Over,4,4,32.0,23,8.0,139.13,17.0,1,3,3,34.78,17.39
331,1,Middle Over,5,5,15.0,26,3.0,57.69,7.0,0,0,2,46.15,0.0
340,1,Death Over,3,3,24.0,17,8.0,141.18,12.0,3,0,3,17.65,17.65
340,1,Middle Over,8,8,210.0,153,26.25,137.25,48.0,19,4,4,18.95,15.03
340,1,Powerplay Over,14,14,300.0,224,21.43,133.93,35.0,46,4,7,35.71,22.32
346,1,Death Over,7,7,113.0,58,16.14,194.83,41.0,12,7,7,32.76,32.76
346,1,Middle Over,11,11,221.0,195,20.09,113.33,36.0,18,4,5,29.23,11.28
346,1,Powerplay Over,8,8,37.0,46,4.62,80.43,21.0,5,0,2,52.17,10.87
351,1,Death Over,6,6,61.0,49,10.17,124.49,22.0,6,2,6,36.73,16.33
351,1,Middle Over,2,2,9.0,11,4.5,81.82,7.0,1,0,1,36.36,9.09
357,1,Death Over,5,5,109.0,54,21.8,201.85,47.0,8,9,3,27.78,31.48
357,1,Middle Over,11,11,163.0,120,14.82,135.83,43.0,15,7,7,30.83,18.33
357,1,Powerplay Over,2,2,27.0,17,13.5,158.82,23.0,1,3,2,47.06,23.53
359,1,Death Over,4,4,17.0,20,4.25,85.0,15.0,1,1,3,30.0,10.0
359,1,Middle Over,1,1,8.0,8,8.0,100.0,8.0,1,0,0,37.5,12.5
360,1,Death Over,2,2,21.0,12,10.5,175.0,13.0,4,0,0,33.33,33.33
360,1,Middle Over,6,6,75.0,89,12.5,84.27,34.0,8,1,5,38.2,10.11
360,1,Powerplay Over,7,7,92.0,88,13.14,104.55,18.0,14,1,1,46.59,17.05
369,1,Middle Over,2,2,14.0,16,7.0,87.5,13.0,2,0,2,43.75,12.5
369,1,Powerplay Over,1,1,4.0,3,4.0,133.33,4.0,1,0,0,33.33,33.33
375,1,Death Over,4,4,41.0,25,10.25,164.0,31.0,5,2,1,28.0,28.0
375,1,Middle Over,4,4,76.0,55,19.0,138.18,33.0,6,4,0,23.64,18.18
375,1,Powerplay Over,2,2,35.0,21,17.5,166.67,18.0,2,3,0,38.1,23.81
387,1,Death Over,5,5,35.0,24,7.0,145.83,15.0,2,3,1,33.33,20.83
387,1,Middle Over,1,1,0.0,1,0.0,0.0,0.0,0,0,0,100.0,0.0
391,1,Death Over,2,2,6.0,6,3.0,100.0,5.0,0,0,1,33.33,0.0
391,1,Middle Over,1,1,2.0,4,2.0,50.0,2.0,0,0,0,50.0,0.0
399,1,Death Over,6,6,45.0,44,7.5,102.27,14.0,2,1,3,27.27,6.82
399,1,Middle Over,9,9,95.0,72,10.56,131.94,32.0,8,5,6,37.5,18.06
399,1,Powerplay Over,3,3,39.0,22,13.0,177.27,25.0,5,1,0,13.64,27.27
401,1,Death Over,4,4,62.0,40,15.5,155.0,25.0,5,2,3,20.0,17.5
401,1,Middle Over,7,7,92.0,77,13.14,119.48,36.0,9,3,3,36.36,15.58
401,1,Powerplay Over,2,2,24.0,20,12.0,120.0,16.0,5,0,0,50.0,25.0
404,1,Powerplay Over,3,3,23.0,24,7.67,95.83,22.0,5,0,3,58.33,20.83
405,1,Death Over,3,3,17.0,14,5.67,121.43,16.0,2,1,2,42.86,21.43
406,1,Death Over,2,2,11.0,19,5.5,57.89,11.0,2,0,1,73.68,10.53
407,1,Death Over,1,1,0.0,2,0.0,0.0,0.0,0,0,1,50.0,0.0
407,1,Middle Over,2,2,6.0,14,3.0,42.86,3.0,0,0,1,50.0,0.0
413,1,Death Over,1,1,28.0,17,28.0,164.71,28.0,4,1,0,29.41,29.41
413,1,Middle Over,1,1,0.0,4,0.0,0.0,0.0,0,0,0,100.0,0.0
414,1,Death Over,10,10,185.0,109,18.5,169.72,51.0,18,8,7,15.6,23.85
414,1,Middle Over,12,12,229.0,209,19.08,109.57,37.0,20,7,4,41.63,12.92
414,1,Powerplay Over,1,1,0.0,1,0.0,0.0,0.0,0,0,0,100.0,0.0
419,1,Death Over,2,2,32.0,15,16.0,213.33,16.0,3,2,0,13.33,33.33
419,1,Middle Over,6,6,64.0,55,10.67,116.36,29.0,9,1,4,43.64,18.18
419,1,Powerplay Over,2,2,8.0,9,4.0,88.89,4.0,2,0,0,77.78,22.22
422,1,Middle Over,2,2,15.0,14,7.5,107.14,9.0,1,1,1,50.0,14.29
