player_id,season_id,phase,matches,innings,balls_bowled,overs,runs_conceded,wickets,economy,bowling_avg,bowling_strike_rate,dot_balls,dot_balls_pct,fours_conceded,sixes_conceded
463,1,Middle Over,2,2,12,2.0,10.0,0,5.0,0.0,inf,3,25.0,1,0
463,1,Powerplay Over,4,4,63,10.0,63.0,4,6.3,15.75,15.0,34,53.97,10,1
477,1,Death Over,9,9,65,10.0,93.0,5,9.3,18.6,12.8,17,26.15,4,6
477,1,Middle Over,8,8,72,12.0,113.0,4,9.42,28.25,18.0,25,34.72,13,5
477,1,Powerplay Over,13,13,138,23.0,160.0,2,6.96,80.0,66.0,67,48.55,19,5
484,1,Death Over,5,5,34,5.0,50.0,6,10.0,8.33,5.0,12,35.29,5,1
484,1,Middle Over,5,5,44,7.0,74.0,0,10.57,0.0,inf,6,13.64,5,3
497,1,Death Over,4,4,24,4.0,36.0,1,9.0,36.0,24.0,5,20.83,2,2
497,1,Middle Over,1,1,6,1.0,8.0,0,8.0,0.0,inf,2,33.33,1,0
497,1,Powerplay Over,4,4,70,11.0,105.0,2,9.55,52.5,33.0,25,35.71,14,3
503,1,Death Over,5,5,31,5.0,52.0,1,10.4,52.0,26.0,3,9.68,2,3
503,1,Middle Over,3,3,24,4.0,23.0,0,5.75,0.0,inf,7,29.17,2,0
503,1,Powerplay Over,9,9,104,17.0,124.0,3,7.29,41.33,34.0,53,50.96,19,2
511,1,Middle Over,1,1,14,2.0,29.0,0,14.5,0.0,inf,5,35.71,3,1
534,1,Death Over,3,3,20,3.0,33.0,1,11.0,33.0,18.0,6,30.0,2,2
534,1,Middle Over,2,2,12,2.0,21.0,1,10.5,21.0,12.0,3,25.0,4,0
534,1,Powerplay Over,3,3,37,6.0,45.0,0,7.5,0.0,inf,15,40.54,6,1
536,1,Death Over,7,7,55,9.0,105.0,5,11.67,21.0,10.8,14,25.45,6,9
536,1,Middle Over,15,15,264,44.0,299.0,14,6.8,21.36,18.43,93,35.23,17,10
559,1,Death Over,7,7,51,8.0,48.0,5,6.0,9.6,9.6,27,52.94,4,2
559,1,Middle Over,6,6,51,8.0,61.0,4,7.62,15.25,12.0,21,41.18,7,2
559,1,Powerplay Over,10,10,145,24.0,143.0,1,5.96,143.0,132.0,68,46.9,18,1
562,1,Death Over,1,1,6,1.0,17.0,0,17.0,0.0,inf,0,0.0,2,1
562,1,Middle Over,3,3,44,7.0,70.0,2,10.0,35.0,21.0,10,22.73,6,3
574,1,Middle Over,1,1,13,2.0,22.0,1,11.0,22.0,12.0,5,38.46,1,2
577,1,Death Over,2,2,13,2.0,11.0,2,5.5,5.5,6.0,4,30.77,0,0
577,1,Middle Over,7,7,83,13.0,94.0,4,7.23,23.5,19.5,32,38.55,9,3
577,1,Powerplay Over,9,9,72,12.0,102.0,2,8.5,51.0,33.0,30,41.67,12,5
578,1,Death Over,3,3,18,3.0,39.0,1,13.0,39.0,18.0,3,16.67,4,2
578,1,Middle Over,6,6,108,18.0,185.0,6,10.28,30.83,18.0,23,21.3,22,5
578,1,Powerplay Over,1,1,6,1.0,12.0,0,12.0,0.0,inf,3,50.0,3,0
