team_id,season_id,matches,wins,ties,no_results,losses,win_pct,runs_scored,runs_conceded,wickets_taken,wickets_lost,avg_runs_scored,avg_runs_conceded,chasing_matches,chasing_wins,chasing_win_pct,defending_matches,defending_wins,defending_win_pct,fours,sixes
7,12,17,10,0,0,7,58.82,2473.0,2440.0,111,88,145.47,143.53,11,7,63.64,6,3,50.0,411,170
7,13,14,6,0,0,8,42.86,2191.0,2275.0,75,67,156.5,162.5,10,5,50.0,4,1,25.0,383,148
7,14,16,11,0,0,5,68.75,2733.0,2555.0,103,81,170.81,159.69,6,6,100.0,10,5,50.0,445,219
7,15,14,4,0,0,10,28.57,2288.0,2254.0,82,88,163.43,161.0,4,1,25.0,10,3,30.0,370,189
7,16,16,10,0,1,5,62.5,2712.0,2728.0,112,79,169.5,170.5,6,4,66.67,9,6,66.67,410,241
7,17,14,7,0,0,7,50.0,2524.0,2415.0,79,77,180.29,172.5,6,3,50.0,8,4,50.0,407,210
7,18,14,4,0,0,10,28.57,2441.0,2461.0,83,95,174.36,175.79,8,3,37.5,6,1,16.67,391,236
8,1,13,6,0,0,7,46.15,1942.0,1718.0,70,88,149.38,132.15,4,2,50.0,9,4,44.44,338,124
8,2,13,3,1,0,9,23.08,1772.0,1975.0,59,73,136.31,151.92,6,3,60.0,8,0,0.0,307,119
8,3,14,7,0,0,7,50.0,2144.0,2192.0,73,71,153.14,156.57,6,3,50.0,8,4,50.0,417,116
8,4,15,8,0,0,7,53.33,2023.0,2072.0,88,71,134.87,138.13,8,5,62.5,7,3,42.86,377,95
8,5,17,12,0,0,5,70.59,2504.0,2366.0,107,94,147.29,139.18,9,6,66.67,8,6,75.0,390,139
8,6,16,6,0,0,10,37.5,2290.0,2316.0,97,102,143.12,144.75,9,4,44.44,7,2,28.57,415,130
8,7,16,11,1,0,4,68.75,2499.0,2455.0,95,89,156.19,153.44,11,7,70.0,6,4,80.0,432,154
8,8,13,7,0,0,6,53.85,2044.0,2081.0,79,78,157.23,160.08,9,5,55.56,4,2,50.0,381,154
8,9,15,8,0,0,7,53.33,2263.0,2321.0,94,76,150.87,154.73,8,6,75.0,7,2,28.57,386,155
8,10,16,9,0,0,7,56.25,2484.0,2539.0,96,88,155.25,158.69,10,7,70.0,6,2,33.33,469,175
8,11,16,9,0,0,7,56.25,2759.0,2743.0,97,104,172.44,171.44,10,6,60.0,6,3,50.0,479,265
8,12,14,6,1,0,7,42.86,2473.0,2429.0,57,79,176.64,173.5,6,4,80.0,9,2,25.0,420,239
8,13,14,6,1,0,7,42.86,2222.0,2208.0,70,96,158.71,157.71,5,1,25.0,10,5,55.56,386,162
8,14,17,9,0,0,8,52.94,2559.0,2545.0,109,105,150.53,149.71,11,7,63.64,6,2,33.33,423,190
8,15,14,6,0,0,8,42.86,2223.0,2249.0,84,104,158.79,160.64,9,4,44.44,5,2,40.0,348,217
8,16,14,6,0,0,8,42.86,2463.0,2470.0,79,97,175.93,176.43,7,3,42.86,7,3,42.86,413,238
8,17,14,11,0,0,3,78.57,2667.0,2407.0,110,76,190.5,171.93,5,5,100.0,9,6,66.67,422,275
8,18,13,5,0,1,7,38.46,2002.0,2276.0,81,82,154.0,175.08,7,2,33.33,6,3,50.0,367,218
9,17,15,7,0,0,8,46.67,2930.0,2820.0,88,99,195.33,188.0,6,3,50.0,9,4,44.44,468,308
9,18,15,11,0,0,4,73.33,2653.0,2606.0,94,82,176.87,173.73,7,6,85.71,8,5,62.5,459,256
10,1,14,7,0,0,7,50.0,2118.0,2223.0,96,77,151.29,158.79,8,5,62.5,6,2,33.33,423,140
10,2,15,10,0,0,5,66.67,2131.0,2158.0,106,75,142.07,143.87,8,7,87.5,7,3,42.86,360,120
10,3,14,7,0,0,7,50.0,2155.0,2166.0,96,88,153.93,154.71,8,3,37.5,6,4,66.67,377,133
10,4,14,4,0,1,9,28.57,2087.0,2076.0,67,95,149.07,148.29,7,2,28.57,7,2,33.33,389,145
10,5,18,11,0,0,7,61.11,2645.0,2745.0,101,94,146.94,152.5,14,9,64.29,4,2,50.0,505,178
10,6,16,3,1,0,12,18.75,2245.0,2451.0,76,112,140.31,153.19,10,2,22.22,7,1,16.67,447,123
10,7,14,2,0,0,12,14.29,2081.0,2184.0,60,86,148.64,156.0,7,2,28.57,7,0,0.0,355,149
10,8,14,5,0,1,8,35.71,2168.0,1978.0,74,76,154.86,141.29,7,3,42.86,7,2,33.33,349,155
10,9,14,7,0,0,7,50.0,2104.0,2107.0,77,77,150.29,150.5,8,5,62.5,6,2,33.33,371,124
10,10,14,6,0,0,8,42.86,2219.0,2255.0,79,97,158.5,161.07,8,3,37.5,6,3,50.0,397,169
10,11,14,5,0,0,9,35.71,2343.0,2387.0,80,75,167.36,170.5,5,1,20.0,9,4,44.44,366,235
11,1,14,4,0,0,10,28.57,1983.0,2205.0,66,106,141.64,157.5,7,2,28.57,7,2,28.57,406,134
11,2,16,9,0,0,7,56.25,2280.0,2316.0,88,106,142.5,144.75,10,6,60.0,6,3,50.0,360,136
11,3,16,8,0,0,8,50.0,2401.0,2511.0,94,86,150.06,156.94,12,7,58.33,4,1,25.0,432,162
