player_id,season_id,opposition_team_id,matches,innings,balls_bowled,overs,runs_conceded,wickets,economy,bowling_avg,bowling_strike_rate,dot_balls,dot_balls_pct,fours_conceded,sixes_conceded
150,1,6,1,1,19,3.0,33.0,0,11.0,0.0,inf,3,15.79,4,1
150,1,9,1,1,14,2.0,16.0,2,8.0,8.0,7.0,7,50.0,3,0
150,1,11,2,2,44,7.0,56.0,3,8.0,18.67,14.0,11,25.0,4,1
150,1,16,1,1,13,2.0,19.0,0,9.5,0.0,inf,4,30.77,3,0
151,1,2,1,1,6,1.0,11.0,0,11.0,0.0,inf,0,0.0,1,0
151,1,11,1,1,13,2.0,16.0,0,8.0,0.0,inf,1,7.69,1,0
151,1,13,1,1,6,1.0,9.0,0,9.0,0.0,inf,0,0.0,1,0
151,1,16,1,1,24,4.0,25.0,2,6.25,12.5,11.0,6,25.0,0,1
152,1,2,1,1,19,3.0,22.0,0,7.33,0.0,inf,7,36.84,3,0
152,1,9,2,2,36,6.0,45.0,3,7.5,15.0,12.0,16,44.44,5,2
152,1,11,1,1,24,4.0,42.0,1,10.5,42.0,24.0,8,33.33,5,2
152,1,17,1,1,24,4.0,36.0,1,9.0,36.0,24.0,10,41.67,7,0
156,1,5,1,1,25,4.0,21.0,1,5.25,21.0,24.0,9,36.0,0,1
156,1,6,2,2,51,8.0,69.0,2,8.62,34.5,24.0,14,27.45,7,2
156,1,9,1,1,27,4.0,29.0,1,7.25,29.0,24.0,11,40.74,4,0
156,1,11,1,1,24,4.0,33.0,0,8.25,0.0,inf,5,20.83,2,1
156,1,13,1,1,7,1.0,12.0,1,12.0,12.0,6.0,3,42.86,1,1
156,1,17,1,1,21,3.0,51.0,0,17.0,0.0,inf,5,23.81,5,3
174,1,2,2,2,50,8.0,75.0,2,9.38,37.5,24.0,13,26.0,6,3
174,1,5,2,2,46,7.0,49.0,1,7.0,49.0,42.0,22,47.83,3,3
174,1,9,2,2,49,8.0,57.0,2,7.12,28.5,24.0,22,44.9,6,2
174,1,11,3,3,60,10.0,87.0,1,8.7,87.0,60.0,20,33.33,12,1
174,1,13,3,3,75,12.0,94.0,4,7.83,23.5,18.0,33,44.0,6,6
174,1,16,2,2,42,7.0,36.0,2,5.14,18.0,21.0,21,50.0,5,0
174,1,17,2,2,49,8.0,45.0,5,5.62,9.0,9.6,23,46.94,4,1
203,1,2,1,1,24,4.0,23.0,0,5.75,0.0,inf,8,33.33,2,0
203,1,5,1,1,12,2.0,14.0,0,7.0,0.0,inf,1,8.33,1,0
203,1,11,2,2,18,3.0,38.0,1,12.67,38.0,18.0,6,33.33,5,2
203,1,16,1,1,24,4.0,25.0,2,6.25,12.5,12.0,10,41.67,0,2
203,1,17,2,2,43,7.0,28.0,3,4.0,9.33,14.0,21,48.84,1,1
208,1,6,1,1,14,2.0,24.0,1,12.0,24.0,12.0,2,14.29,2,1
208,1,11,1,1,6,1.0,12.0,0,12.0,0.0,inf,1,16.67,0,1
209,1,2,1,1,13,2.0,23.0,0,11.5,0.0,inf,1,7.69,3,0
209,1,5,1,1,19,3.0,25.0,2,8.33,12.5,9.0,6,31.58,2,1
209,1,9,1,1,25,4.0,24.0,0,6.0,0.0,inf,10,40.0,2,0
209,1,11,1,1,7,1.0,15.0,0,15.0,0.0,inf,0,0.0,2,0
209,1,13,2,2,18,3.0,32.0,0,10.67,0.0,inf,5,27.78,4,1
209,1,17,1,1,6,1.0,18.0,0,18.0,0.0,inf,0,0.0,2,1
210,1,2,2,2,34,5.0,58.0,0,11.6,0.0,inf,8,23.53,5,2
210,1,5,2,2,53,8.0,66.0,4,8.25,16.5,12.0,23,43.4,5,2
210,1,6,3,3,53,8.0,71.0,2,8.88,35.5,24.0,18,33.96,10,1
210,1,9,2,2,49,8.0,58.0,4,7.25,14.5,12.0,23,46.94,8,1
210,1,11,2,2,43,7.0,82.0,2,11.71,41.0,18.5,14,32.56,10,4
210,1,16,2,2,49,8.0,62.0,2,7.75,31.0,24.0,19,38.78,10,0
210,1,17,2,2,51,8.0,45.0,5,5.62,9.0,9.6,27,52.94,5,1
212,1,2,2,2,39,6.0,39.0,2,6.5,19.5,18.0,15,38.46,5,0
212,1,5,2,2,51,8.0,56.0,2,7.0,28.0,24.0,23,45.1,4,3
212,1,6,3,3,77,12.0,104.0,3,8.67,34.67,24.0,28,36.36,7,6
212,1,9,2,2,48,8.0,54.0,2,6.75,27.0,23.0,25,52.08,5,3
212,1,11,2,2,50,8.0,31.0,2,3.88,15.5,24.0,28,56.0,3,0
212,1,16,1,1,25,4.0,30.0,2,7.5,15.0,12.0,8,32.0,3,1
212,1,17,2,2,46,7.0,36.0,2,5.14,18.0,22.0,23,50.0,5,0
222,1,11,2,2,51,8.0,61.0,5,7.62,12.2,9.0,17,33.33,5,2
222,1,13,2,2,52,8.0,50.0,6,6.25,8.33,8.0,20,38.46,4,1
222,1,16,1,1,30,5.0,43.0,1,8.6,43.0,24.0,8,26.67,3,2
222,1,17,1,1,20,3.0,30.0,0,10.0,0.0,inf,6,30.0,5,0
223,1,2,2,2,51,8.0,75.0,2,9.38,37.5,24.0,13,25.49,11,0
223,1,5,1,1,20,3.0,44.0,0,14.67,0.0,inf,7,35.0,3,5
223,1,9,1,1,25,4.0,25.0,0,6.25,0.0,inf,9,36.0,2,0
223,1,11,3,3,63,10.0,70.0,4,7.0,17.5,13.5,18,28.57,6,0
223,1,13,2,2,48,8.0,52.0,3,6.5,17.33,16.0,22,45.83,4,2
223,1,16,2,2,52,8.0,63.0,3,7.88,21.0,16.0,17,32.69,6,2
223,1,17,2,2,51,8.0,70.0,5,8.75,14.0,9.6,14,27.45,6,2
230,1,11,2,2,20,3.0,30.0,1,10.0,30.0,20.0,4,20.0,1,2
234,1,5,1,1,24,4.0,23.0,1,5.75,23.0,24.0,8,33.33,0,1
234,1,9,1,1,18,3.0,13.0,0,4.33,0.0,inf,7,38.89,1,0
234,1,11,2,2,45,7.0,64.0,4,9.14,16.0,10.25,14,31.11,2,5
234,1,13,1,1,12,2.0,21.0,1,10.5,21.0,12.0,2,16.67,0,2
234,1,16,1,1,24,4.0,17.0,5,4.25,3.4,4.8,11,45.83,1,0
238,1,6,1,1,18,3.0,29.0,2,9.67,14.5,9.0,3,16.67,2,1
238,1,13,1,1,12,2.0,22.0,0,11.0,0.0,inf,2,16.67,2,1
241,1,2,1,1,25,4.0,29.0,2,7.25,14.5,12.0,8,32.0,3,0
246,1,2,1,1,25,4.0,33.0,0,8.25,0.0,inf,5,20.0,3,0
246,1,6,2,2,37,6.0,40.0,1,6.67,40.0,36.0,14,37.84,2,2
246,1,9,2,2,43,7.0,47.0,0,6.71,0.0,inf,23,53.49,4,3
246,1,11,1,1,13,2.0,14.0,0,7.0,0.0,inf,5,38.46,0,1
246,1,13,1,1,24,4.0,36.0,1,9.0,36.0,24.0,6,25.0,1,3
246,1,17,1,1,25,4.0,29.0,1,7.25,29.0,24.0,8,32.0,0,2
251,1,2,2,2,31,5.0,42.0,0,8.4,0.0,inf,13,41.94,4,2
251,1,5,2,2,49,8.0,38.0,3,4.75,12.67,16.0,26,53.06,5,0
251,1,6,3,3,42,7.0,78.0,1,11.14,78.0,41.0,12,28.57,5,6
251,1,9,2,2,30,5.0,52.0,2,10.4,26.0,15.0,10,33.33,3,4
251,1,11,2,2,36,6.0,62.0,3,10.33,20.67,12.0,11,30.56,3,5
251,1,16,2,2,48,8.0,59.0,3,7.38,19.67,16.0,20,41.67,3,4
251,1,17,2,2,50,8.0,58.0,5,7.25,11.6,9.6,18,36.0,5,0
254,1,2,1,1,14,2.0,22.0,2,11.0,11.0,6.0,4,28.57,1,2
254,1,6,1,1,19,3.0,28.0,0,9.33,0.0,inf,6,31.58,5,0
254,1,9,1,1,13,2.0,14.0,0,7.0,0.0,inf,7,53.85,1,1
254,1,11,1,1,6,1.0,7.0,0,7.0,0.0,inf,1,16.67,1,0
254,1,16,1,1,25,4.0,20.0,1,5.0,20.0,24.0,12,48.0,0,1
259,1,2,2,2,36,6.0,44.0,2,7.33,22.0,17.5,14,38.89,5,1
259,1,6,2,2,47,7.0,58.0,4,8.29,14.5,10.5,20,42.55,9,0
259,1,9,1,1,19,3.0,15.0,0,5.0,0.0,inf,7,36.84,1,0
259,1,11,1,1,18,3.0,21.0,2,7.0,10.5,9.0,10,55.56,1,2
259,1,13,1,1,26,4.0,37.0,2,9.25,18.5,12.0,9,34.62,3,2
259,1,16,1,1,6,1.0,8.0,0,8.0,0.0,inf,4,66.67,2,0
259,1,17,2,2,41,6.0,53.0,1,8.83,53.0,34.0,13,31.71,6,1
