player_id,season_id,phase,matches,innings,balls_bowled,overs,runs_conceded,wickets,economy,bowling_avg,bowling_strike_rate,dot_balls,dot_balls_pct,fours_conceded,sixes_conceded
422,3,Middle Over,1,1,6,1.0,7.0,0,7.0,0.0,inf,1,16.67,0,0
425,3,Death Over,2,2,15,2.0,10.0,3,5.0,3.33,4.0,4,26.67,0,0
425,3,Powerplay Over,2,2,12,2.0,26.0,0,13.0,0.0,inf,3,25.0,5,0
428,3,Death Over,4,4,30,5.0,58.0,3,11.6,19.33,10.0,10,33.33,3,5
428,3,Middle Over,4,4,50,8.0,65.0,0,8.12,0.0,inf,19,38.0,2,5
428,3,Powerplay Over,2,2,12,2.0,20.0,1,10.0,20.0,12.0,5,41.67,3,1
442,3,Death Over,2,2,19,3.0,26.0,1,8.67,26.0,18.0,3,15.79,3,0
442,3,Middle Over,1,1,6,1.0,18.0,0,18.0,0.0,inf,1,16.67,1,2
442,3,Powerplay Over,1,1,13,2.0,22.0,1,11.0,22.0,12.0,4,30.77,2,1
445,3,Death Over,1,1,6,1.0,8.0,0,8.0,0.0,inf,2,33.33,1,0
447,3,Middle Over,2,2,19,3.0,30.0,0,10.0,0.0,inf,1,5.26,2,1
447,3,Powerplay Over,1,1,6,1.0,13.0,0,13.0,0.0,inf,1,16.67,1,1
