player_id,player_name
437,M SIDDHARTH
438,F DU PLESSIS
439,R NINAN
440,JL PATTINSON
441,AC GILCHRIST
442,A UNIYAL
443,AJ TURNER
444,MUKESH CHOUDHARY
445,RS GAVASKAR
446,B CHIPLI
447,SC GANGULY
448,A FLINTOFF
449,AC BLIZZARD
450,DR SAMS
451,MISBAH-UL-HAQ
452,MN VAN WYK
453,M MURALITHARAN
454,S BADRINATH
455,A ASHISH REDDY
456,ARSHAD KHAN
457,A KUMBLE
458,MV BOUCHER
459,SP NARINE
460,L WOOD
461,MDKJ PERERA
462,SHAHBAZ AHMED
463,C MUNRO
464,MF MAHAROOF
465,AB MCDONALD
466,JR HAZLEWOOD
467,GC VILJOEN
468,MA WOOD
469,IK PATHAN
470,RG SHARMA
471,KK AHMED
472,RV UTHAPPA
473,FAZALHAQ FAROOQI
474,GAGANDEEP SINGH
475,RJ PETERSON
476,AB DE VILLIERS
477,ANUJ RAWAT
478,SB WAGH
479,D DU PREEZ
480,PA PATEL
481,SW BILLINGS
482,BR SHARATH
483,SMSM SENANAYAKE
484,W JAFFER
485,RJ QUINEY
486,PWH DE SILVA
487,CJ FERGUSON
488,AK MARKRAM
489,A CHOPRA
490,C DE GRANDHOMME
491,DHRUV JUREL
492,SANVIR SINGH
493,SHIVAM MAVI
494,RW PRICE
495,S SOHAL
496,MN SAMUELS
497,TEJAS BAROKA
498,T KOHLI
499,DH YAGNIK
500,SUMIT KUMAR
501,S MIDHUN
502,MA KHOTE
503,GULBADIN NAIB
504,NM COULTER-NILE
505,FY FAZAL
506,GC SMITH
507,ANMOLPREET SINGH
508,JL DENLY
509,BJ HODGE
510,MS BISLA
511,BKG MENDIS
512,JR HOPES
513,SPD SMITH
514,RG MORE
515,KA JAMIESON
516,A MISHRA
517,TR BIRT
518,B STANLAKE
519,ANAND RAJAN
520,NOOR AHMAD
521,S JOSEPH
522,K RABADA
523,MD MISHRA
524,LPC SILVA
525,DP CONWAY
526,MM PATEL
527,JA MORKEL
528,PSP HANDSCOMB
529,P KUMAR
530,TK CURRAN
531,SEDIQULLAH ATAL
532,RR SARWAN
533,RP MEREDITH
534,MB PARMAR
535,KK COOPER
536,JPR SCANTLEBURY-SEARLES
537,DA WARNER
538,RS BOPARA
539,A NORTJE
540,MEK HUSSEY
541,R SATHISH
542,YASH THAKUR
543,UMAR GUL
544,MA STARC
545,S KAUL
546,NJ MADDINSON
547,SUNNY GUPTA
548,SHOAIB AHMED
549,DJ WILLEY
550,MM SHARMA
551,N JAGADEESAN
552,T STUBBS
553,MK LOMROR
554,RS SODHI
555,SIMARJEET SINGH
556,J LITTLE
557,IR JAGGI
558,Y PRITHVI RAJ
559,RE VAN DER MERWE
560,BJ HADDIN
561,S GOPAL
562,YUDHVIR SINGH
